"Change description","Cabinet","Sub System","Component","Cluster","Initiative ID","Old PN","New PN","LP1 upgrade status","LP2 upgrade status","LP3 upgrade status","LP4 upgrade status","Photo","Related DDT","SW Config","Status","Comments","PECO"
"New GBIC CXP","UIC","PC","PC","CL3","IPRG-4381",,"?","Installed","Not Available","Not Available","Not Available",,,"No","On going",,"No"
"PWS EC phase 2","PWS","PWS EC","PWS EC","CL3","IPRG-2277",,"NA","Installed","Installed","Not Installed","Installed",,,"Yes","On going",,
"PE rear EC phase 2","PE","PE EC","PE Rear EC","CL3","IPRG-2113,2920,4571",,"NA","Installed","Installed","Not Installed","Installed",,,"Yes","On going",,
"Replacement of David IMP engage and FP motors","PWS","Impression","IMP and FP motor","CL3","IPRG-3899",,"3140-1650","Installed","Installed","Not Available","Installed",,,"Yes","On going","Replace 2 motors 3140-1650 IMP Coupling 1530-2977, FP coupling 1500-2010","Yes"
"Temperature sensor reliability","PE","CVC","CVC, PE&UIC temp sensor","CL3","IPRG-4346",,"0854-0629x2, 0854-0634x6","Installed","Installed","Not Installed","Installed","original-720f347b-94ac-408a-baf0-ef6ff5956719.jpeg",,"No","On going","0629 x2 per press (environment), On LP1&2 0628 x 6 per press (CVC). ","Yes"
"RDU seal improvements","UIC","SAS","RDU","CL3","IPRG-4006",,"?","Installed","Installed","Installed","Installed","original-cf47b51c-3f52-44e2-8783-1692f48fcffc.jpeg",,"No","Done","חומר מאחורי המכונה",
"Move pws EC fans from right door to left door","PWS","PWS EC",,"CL4",,,"?","Installed","Installed","Not Installed","Installed","original-045a29ec-0129-4443-ad1b-0de909c2cd41.jpeg",,"No","On going","rework in MS","Yes"
"Add Impression roller locktight ","PE","Impression","Impression roller","CL3",,,"NA","Installed","Installed","Installed","Installed",,,"No","Done",,
"Change CD tank location and cover","PE","CD","CD tank","CL3",,,"CA002-93111","Installed","Installed","Installed","Installed","original-26ca05e5-520d-4546-a832-47b4606a9f3d.jpeg",,"No","Done","חומר מאחורי המכונה",
"Install static link","PE","Link",,"CL3",,,"?","Installed","Installed","Installed","Installed","original-51b60e64-0c74-4ec8-8d55-85ba29bae4e9.jpeg",,"No","Done","Not final config. LP1 is slightly different",
"Improve LPH skew adjustment","PE","LPH Interface","LPH skew mechanism","CL3","IPRG-4345",,"CA003-59050","Installed","Not Available","Not Available","Not Available",,,"No","On going","LP1 ECO: replace front interface plate and adjust roller. LP2/3/4 FCO","Yes"
"QSFP LPH optic cable","PE","LPH",,"CL5","IPRG-4427",,"CA003-51530","Installed","Installed","Not Installed","Installed","original-a1b197ed-7394-413f-9337-36b269b11240.jpeg",,"No","On going","Material expected in mid March","Yes"
"LPH cooling tank air pressure release","UIC","LPH Cooling",,"CL5","IPRG-4558",,"?","Not available","Installed","Not Available","Installed","original-9a1ad8c5-dda4-4b2f-b6b0-7b7f85e2667c.jpeg",,"No","On going","Not final","No"
"ILS high friction roller","PWS","ILS",,"CL2",,,"CA002-99511","Installed","Installed","Installed","Installed","original-517b86e2-362e-422b-9fb7-6480431008d4.jpeg",,"No","Done","Material behind press","NA"
"BCR junction box removal","PE","PE Wiring",,"CL5","IPRG-5171",,,"Installed","Installed","Not Installed","Installed",,,"Yes","On going","pending stir 2.0","Yes"
"BDV upper hoods (hell)","PE","BDV","upper hood ","CL5","IPRG-1702",,,"Temporary","Installed","Not Installed","Installed","original-475138a0-2ff4-4f98-9952-a239436bdfb4.jpeg",,"No","On going","Material on Boaz shelf in LAB","Yes"
"IMO ME filters safety solution","PE","IMO System","ME filters","CL4","IPRG-3666",,,"Installed","Installed","Not Available","Installed","original-0b939dd7-5fbd-4cb5-adfb-8328be111dcd.jpeg",,"Yes","Not started",,"No"
"Tensioner DDT fix for C4","PE","Tensioner",,"CL4","IPRG-5007",,"NA","Installed","Installed","Installed","Installed","original-c5d3dbe3-e009-4991-b3ac-392b55a1680d.jpeg",,"No","Done","Front and rear wiring brackets, Front and rear hard stops,, front and rear connector mount",
